Ville,Le Havre,Rouen,Caen,Cherbourg-en-Cotentin,Évreux,Sotteville-lès-Rouen,Saint-Étienne-du-Rouvray,Dieppe,Le Grand-Quevilly,Alençon
Le Havre,0.0,71.0,49.0,126.0,92.0,72.0,72.0,85.0,69.0,118.0
Rouen,71.0,0.0,110.0,197.0,46.0,3.0,6.0,54.0,5.0,134.0
Caen,49.0,110.0,0.0,105.0,112.0,109.0,108.0,133.0,106.0,90.0
Cherbourg-en-Cotentin,126.0,197.0,105.0,0.0,212.0,198.0,198.0,197.0,195.0,184.0
Évreux,92.0,46.0,112.0,212.0,0.0,43.0,40.0,100.0,43.0,102.0
Sotteville-lès-Rouen,72.0,3.0,109.0,198.0,43.0,0.0,4.0,57.0,3.0,132.0
Saint-Étienne-du-Rouvray,72.0,6.0,108.0,198.0,40.0,4.0,0.0,60.0,4.0,129.0
Dieppe,85.0,54.0,133.0,197.0,100.0,57.0,60.0,0.0,58.0,181.0
Le Grand-Quevilly,69.0,5.0,106.0,195.0,43.0,3.0,4.0,58.0,0.0,129.0
Alençon,118.0,134.0,90.0,184.0,102.0,132.0,129.0,181.0,129.0,0.0
